Date,Time,Wind_Speed(m/s)
2024-03-08,00:00:00,21.75
2024-03-08,01:00:00,18.51
2024-03-08,02:00:00,19.7
2024-03-08,03:00:00,9.18
2024-03-08,04:00:00,15.83
2024-03-08,05:00:00,18.92
2024-03-08,06:00:00,9.57
2024-03-08,07:00:00,8.5
2024-03-08,08:00:00,24.64
2024-03-08,09:00:00,15.33
2024-03-08,10:00:00,10.22
2024-03-08,11:00:00,24.93
2024-03-08,12:00:00,24.31
2024-03-08,13:00:00,16.17
2024-03-08,14:00:00,22.65
2024-03-08,15:00:00,8.77
2024-03-08,16:00:00,10.58
2024-03-08,17:00:00,19.01
2024-03-08,18:00:00,21.93
2024-03-08,19:00:00,22.13
2024-03-08,20:00:00,13.09
2024-03-08,21:00:00,22.76
2024-03-08,22:00:00,22.02
2024-03-08,23:00:00,23.71
2024-03-08,00:00:00,20.71
2024-03-08,01:00:00,18.38
2024-03-08,02:00:00,16.61
2024-03-08,03:00:00,12.45
2024-03-08,04:00:00,23.8
2024-03-08,05:00:00,24.47
2024-03-08,06:00:00,10.68
2024-03-08,07:00:00,11.11
2024-03-08,08:00:00,14.71
2024-03-08,09:00:00,13.97
2024-03-08,10:00:00,24.89
2024-03-08,11:00:00,8.52
2024-03-08,12:00:00,5.36
2024-03-08,13:00:00,14.88
2024-03-08,14:00:00,8.58
2024-03-08,15:00:00,12.33
2024-03-08,16:00:00,19.88
2024-03-08,17:00:00,19.42
2024-03-08,18:00:00,11.16
2024-03-08,19:00:00,15.85
2024-03-08,20:00:00,15.18
2024-03-08,21:00:00,17.73
2024-03-08,22:00:00,10.01
2024-03-08,23:00:00,16.8
2024-03-08,00:00:00,24.58
2024-03-08,01:00:00,14.73
2024-03-08,02:00:00,23.12
2024-03-08,03:00:00,13.69
2024-03-08,04:00:00,12.0
2024-03-08,05:00:00,17.9
2024-03-08,06:00:00,18.38
2024-03-08,07:00:00,22.28
2024-03-08,08:00:00,9.6
2024-03-08,09:00:00,14.98
2024-03-08,10:00:00,16.44
2024-03-08,11:00:00,20.37
2024-03-08,12:00:00,5.87
2024-03-08,13:00:00,24.89
2024-03-08,14:00:00,14.4
2024-03-08,15:00:00,10.59
2024-03-08,16:00:00,22.67
2024-03-08,17:00:00,19.95
2024-03-08,18:00:00,24.06
2024-03-08,19:00:00,11.62
2024-03-08,20:00:00,16.06
2024-03-08,21:00:00,16.45
2024-03-08,22:00:00,24.61
2024-03-08,23:00:00,6.51
2024-03-08,00:00:00,11.11
2024-03-08,01:00:00,8.82
2024-03-08,02:00:00,10.37
2024-03-08,03:00:00,14.71
2024-03-08,04:00:00,12.45
2024-03-08,05:00:00,12.89
2024-03-08,06:00:00,21.88
2024-03-08,07:00:00,23.6
2024-03-08,08:00:00,6.41
2024-03-08,09:00:00,9.18
2024-03-08,10:00:00,18.42
2024-03-08,11:00:00,12.17
2024-03-08,12:00:00,10.08
2024-03-08,13:00:00,10.91
2024-03-08,14:00:00,11.45
2024-03-08,15:00:00,21.97
2024-03-08,16:00:00,7.73
2024-03-08,17:00:00,19.18
2024-03-08,18:00:00,16.06
2024-03-08,19:00:00,10.93
2024-03-08,20:00:00,13.4
2024-03-08,21:00:00,10.12
2024-03-08,22:00:00,17.23
2024-03-08,23:00:00,6.63
2024-03-08,00:00:00,5.1
2024-03-08,01:00:00,17.56
2024-03-08,02:00:00,8.89
2024-03-08,03:00:00,6.42
2024-03-09,00:00:00,12.94
2024-03-09,01:00:00,6.02
2024-03-09,02:00:00,22.73
2024-03-09,03:00:00,5.55
2024-03-09,04:00:00,16.58
2024-03-09,05:00:00,13.77
2024-03-09,06:00:00,18.44
2024-03-09,07:00:00,11.56
2024-03-09,08:00:00,8.1
2024-03-09,09:00:00,24.64
2024-03-09,10:00:00,21.78
2024-03-09,11:00:00,22.21
2024-03-09,12:00:00,10.01
2024-03-09,13:00:00,5.78
2024-03-09,14:00:00,11.07
2024-03-09,15:00:00,15.74
2024-03-09,16:00:00,11.53
2024-03-09,17:00:00,21.56
2024-03-09,18:00:00,10.43
2024-03-09,19:00:00,24.31
2024-03-09,20:00:00,14.15
2024-03-09,21:00:00,21.84
2024-03-09,22:00:00,8.89
2024-03-09,23:00:00,13.23
2024-03-09,00:00:00,18.99
2024-03-09,01:00:00,7.77
2024-03-09,02:00:00,7.65
2024-03-09,03:00:00,24.39
2024-03-09,04:00:00,19.29
2024-03-09,05:00:00,5.82
2024-03-09,06:00:00,12.98
2024-03-09,07:00:00,13.67
2024-03-09,08:00:00,19.88
2024-03-09,09:00:00,10.02
2024-03-09,10:00:00,8.69
2024-03-09,11:00:00,6.62
2024-03-09,12:00:00,13.57
2024-03-09,13:00:00,18.77
2024-03-09,14:00:00,6.16
2024-03-09,15:00:00,23.3
2024-03-09,16:00:00,13.85
2024-03-09,17:00:00,9.8
2024-03-09,18:00:00,6.88
2024-03-09,19:00:00,8.66
2024-03-09,20:00:00,23.69
2024-03-09,21:00:00,17.77
2024-03-09,22:00:00,15.33
2024-03-09,23:00:00,18.14
2024-03-09,00:00:00,13.71
2024-03-09,01:00:00,19.6
2024-03-09,02:00:00,5.95
2024-03-09,03:00:00,16.32
2024-03-09,04:00:00,8.17
2024-03-09,05:00:00,7.4
2024-03-09,06:00:00,11.84
2024-03-09,07:00:00,6.84
2024-03-09,08:00:00,6.88
2024-03-09,09:00:00,11.23
2024-03-09,10:00:00,24.59
2024-03-09,11:00:00,8.51
2024-03-09,12:00:00,5.34
2024-03-09,13:00:00,20.27
